Name	Date	Image	Pattern	Tags	Notes
I Am Sam shirt	9/21/2015	/assets/images/textiles/iamsam.jpg		Tops, Kids	My kid is Sam. This shirt made that clear.
Toddler bucket hats	9/28/2015	/assets/images/textiles/toddlerbuckethats.jpg		Accessories, Kids	Colorful bucket hats made out of scraps.
Matching Renaissance outfits	10/3/2015	/assets/images/textiles/animalsbooks.jpg		Tops, Pants, Kids, Matching, Custom fabric	Custom fabric made out of Renaissance books about animals and the human body, and shorts made out of a book print, for the Renaissance Faire
De humani corporis fabrica	10/3/2015	/assets/images/textiles/dehumani.jpg		Tops, Custom fabric	Custom fabric shirt for my (now ex-)husband made out of a Renaissance anatomy book
The byrth of mankynde	10/3/2015	/assets/images/textiles/byrthmankynde.jpg		Tops, Skirts, Custom fabric	My outfit for the Renaissance Faire a year I was pregnant, with a human development book custom fabric print for the top, and a book skirt.
Botanical pajama pants	10/25/2015	/assets/images/textiles/botanicalpajama.jpg		Pants	Pajama pants for a friend using a botanical print.
Apples	11/8/2015	/assets/images/textiles/apples.jpg	Folkwear 109 Little Folks	Pants, Vests, Kids	My favorite toddler pants pattern in apples, along with a matching vest. Funny how that toddler grew up to be an absolute apple fiend.
Fusion kurta	11/8/2015	/assets/images/textiles/fusionkurta.jpg	Folkwear 135 Jewels of India	Tops	A kurta pattern made in Japanese linen, for middle kid's godfather.
Math pirate swaddle	11/8/2015	/assets/images/textiles/mathpirateswaddle.jpg		Accessories, Baby	Middle kid was named for the Math Pirate at UChicago, so I wanted them to have a swaddle wrap to match.
Blue toddler pants	11/8/2015	/assets/images/textiles/bluetoddlerpants.jpg		Pants, Kids	Courderoy toddler pants.
Cat tunic	11/15/2015	/assets/images/textiles/cattunic.jpg	Folkwear 109 Little Folks	Tops, Kids	A colorful cat tunic sewn as dress-up clothes for the kids' preschool.
Lunch bag for Delaney	11/22/2015	/assets/images/textiles/delaney.jpg		Accessories	A lunch bag for one of the daycare teacher's children.
Penguin tunic	11/22/2015	/assets/images/textiles/penguintunic.jpg	Striped Swallow Wanderer Tunic	Tops	A penguin tunic.
Caterpillar tunic	11/26/2015	/assets/images/textiles/caterpillartunic.jpg	Striped Swallow Kids Wanderer Tunic	Tops, Kids	Once the oldest kid got a little older, I made him a Hungry Caterpillar tunic.
Vest, bowtie, handkerchief	12/6/2015	/assets/images/textiles/vestbowtiehandkerchief.jpg		Accessories, Kids	A toddler vest in a cute little owl print, along with a bowtie and handkerchief matching for his godfather.
Fraternal pants	12/10/2015	/assets/images/textiles/fraternalpants.jpg	Folkwear 109 Little Folks	Pants, Kids	Custom fabric of Ottoman Turkish human development print, sewn into toddler pants when I was pregnant with the second kid.
Another baby Sam	12/10/2015	/assets/images/textiles/sambabyshirt.jpg	Folkwear 109 Little Folks	Tops, Baby	A baby top for my kids' cousin Sam.
Brown bear tunic	12/12/2015	/assets/images/textiles/brownbeartunic.jpg	Striped Swallow Kids Wanderer Tunic	Tops, Kids	A favorite book, turned into a tunic for the oldest kid.
Sesame Street tunic	12/14/2015	/assets/images/textiles/sesametunic.jpg	Striped Swallow Kids Wanderer Tunic	Tops, Kids	My kids never watched much Sesame Street, but the oldest kid liked this print with "Duck" and Cookie Monster.
Frog apple shirt	12/16/2015	/assets/images/textiles/frogappleshirt.jpg	Folkwear 109 Little Folks	Tops, Kids	My oldest kid got obsessed with the little creature in the game Cut the Rope, and the best I could do for him was this cute frog with "apples"
Frog pants	12/17/2015	/assets/images/textiles/frogpants.jpg	Folkwear 109 Little Folks	Pants, Kids	These frog pants saw years of action.
Dot-dot-owl vest	12/21/2015	/assets/images/textiles/dotowlvest.jpg	Folkwear 222 Vintage Vests	Vests	A fancy vest in a cute owl pattern for my oldest kid's godfather, complete with complicated welt pockets!
Sam's muffin lunch bag	1/3/2016	/assets/images/textiles/sammuffinbag.jpg		Accessories	A muffin-themed lunch bag for the oldest kid.
